Timestamp,Class,Confidence
2026-03-26 23:18:17,fire,0.98
2026-03-26 23:18:17,fire,0.98
2026-03-26 23:18:18,fire,0.99
2026-03-26 23:18:18,fire,0.99
2026-03-26 23:18:18,fire,0.98
2026-03-26 23:18:19,fire,0.98
2026-03-26 23:18:19,fire,0.99
2026-03-26 23:18:20,fire,0.98
2026-03-26 23:18:20,fire,0.97
2026-03-26 23:18:20,fire,0.98
2026-03-26 23:18:21,fire,0.97
2026-03-26 23:18:21,fire,0.97
2026-03-26 23:18:21,fire,0.97
2026-03-26 23:18:22,fire,0.98
2026-03-26 23:18:22,fire,0.98
2026-03-26 23:18:22,fire,0.99
2026-03-26 23:18:23,fire,0.98
2026-03-26 23:18:23,fire,0.98
2026-03-26 23:18:24,fire,0.98
2026-03-26 23:18:24,fire,0.97
2026-03-26 23:18:25,fire,0.97
2026-03-26 23:18:25,fire,0.97
2026-03-26 23:18:25,fire,0.96
2026-03-26 23:18:26,fire,0.95
2026-03-26 23:18:26,fire,0.96
2026-03-26 23:18:26,fire,0.96
2026-03-26 23:18:27,fire,0.64
2026-03-26 23:18:27,fire,0.99
2026-03-26 23:18:28,fire,0.99
2026-03-26 23:18:28,fire,0.99
2026-03-26 23:18:28,fire,0.98
2026-03-26 23:18:29,fire,0.97
2026-03-26 23:18:29,fire,0.99
2026-03-26 23:18:30,fire,0.99
2026-03-26 23:18:30,fire,0.98
2026-03-26 23:18:30,fire,0.98
2026-03-26 23:18:31,fire,0.97
2026-03-26 23:18:31,fire,0.97
2026-03-26 23:18:31,fire,0.96
2026-03-26 23:18:32,fire,0.97
2026-03-26 23:18:32,fire,0.97
2026-03-26 23:18:33,fire,0.98
2026-03-26 23:18:33,fire,0.99
2026-03-26 23:18:33,fire,0.98
2026-03-26 23:18:34,fire,0.99
2026-03-26 23:18:34,fire,0.99
2026-03-26 23:18:35,fire,0.98
2026-03-26 23:18:35,fire,0.98
2026-03-26 23:18:36,fire,0.97
2026-03-26 23:18:36,fire,0.97
2026-03-26 23:18:37,fire,0.97
2026-03-26 23:18:37,fire,0.98
2026-03-26 23:18:37,fire,0.98
2026-03-26 23:18:38,fire,0.98
2026-03-26 23:18:38,fire,0.98
2026-03-26 23:18:39,fire,0.98
2026-03-26 23:18:39,fire,0.98
2026-03-26 23:18:39,fire,0.99
2026-03-26 23:18:40,fire,0.99
2026-03-26 23:18:40,fire,0.98
2026-03-26 23:18:41,fire,0.98
2026-03-26 23:18:41,fire,0.99
2026-03-26 23:18:41,fire,0.98
2026-03-26 23:18:41,fire,0.97
2026-03-26 23:18:42,fire,0.96
2026-03-26 23:18:42,fire,1.00
2026-03-26 23:18:42,fire,0.95
2026-03-26 23:18:43,fire,1.00
2026-03-26 23:18:43,fire,0.99
2026-03-26 23:18:43,fire,0.93
2026-03-26 23:18:44,fire,0.93
2026-03-26 23:18:44,fire,0.91
2026-03-26 23:18:44,fire,0.94
2026-03-26 23:18:45,fire,0.93
2026-03-26 23:18:45,fire,0.94
2026-03-26 23:18:45,fire,0.97
2026-03-26 23:18:46,fire,0.98
2026-03-26 23:18:46,fire,0.98
2026-03-26 23:18:46,fire,0.98
2026-03-26 23:18:47,fire,0.98
2026-03-26 23:18:47,fire,0.98
2026-03-26 23:18:48,fire,0.97
2026-03-26 23:18:48,fire,0.97
2026-03-26 23:18:48,fire,0.98
2026-03-26 23:18:49,fire,0.99
2026-03-26 23:18:49,fire,0.99
2026-03-26 23:18:49,fire,0.99
2026-03-26 23:18:50,fire,0.98
2026-03-26 23:18:50,fire,0.98
2026-03-26 23:18:50,fire,0.98
2026-03-26 23:18:51,fire,0.99
2026-03-26 23:18:51,fire,0.98
2026-03-26 23:18:51,fire,0.98
2026-03-26 23:18:52,fire,0.99
2026-03-26 23:18:52,fire,0.99
2026-03-26 23:18:53,fire,0.99
2026-03-26 23:18:53,fire,0.99
2026-03-26 23:18:53,fire,0.99
2026-03-26 23:18:54,fire,0.99
2026-03-26 23:18:54,fire,0.98
2026-03-26 23:18:54,fire,0.98
2026-03-26 23:18:55,fire,0.98
2026-03-26 23:18:55,fire,0.98
2026-03-26 23:18:55,fire,0.98
2026-03-26 23:18:56,fire,0.98
2026-03-26 23:18:56,fire,0.99
2026-03-26 23:18:56,fire,0.99
2026-03-26 23:18:57,fire,0.99
2026-03-26 23:18:57,fire,0.98
2026-03-26 23:18:58,fire,0.98
2026-03-26 23:18:58,fire,0.99
2026-03-26 23:18:58,fire,0.99
2026-03-26 23:18:59,fire,0.99
2026-03-26 23:18:59,fire,0.99
2026-03-26 23:18:59,fire,1.00
2026-03-26 23:19:00,fire,0.98
2026-03-26 23:19:00,fire,0.99
2026-03-26 23:19:01,fire,1.00
2026-03-26 23:19:01,fire,1.00
2026-03-26 23:19:01,fire,1.00
2026-03-26 23:19:02,fire,1.00
2026-03-26 23:19:02,fire,1.00
